personCode,personno,plant_code,area_code,line_code,machine_code,approval_level,is_active
2-126,,DP,,,,4,TRUE
2-1736,,DP,,,,4,TRUE
2-2006,,DP,,,,4,TRUE
2-593,,DP,,,,4,TRUE
2-368,,ST,,,,4,TRUE
2-1955,,ST,,,,4,TRUE
2-053,,DP,,,,3,TRUE
2-045,,DP,,,,3,TRUE
2-1944,,DP,,,,3,TRUE
2-227,,DP,,,,3,TRUE
2-1858,,DP,,,,3,TRUE
2-1784,,DP,,,,3,TRUE
2-384,,DP,,,,3,TRUE
2-168,,DP,,,,3,TRUE
2-480,,DP,,,,3,TRUE
2-475,,DP,,,,3,TRUE
2-1153,,DP,,,,3,TRUE
2-1953,,DP,,,,3,TRUE
2-238,,DP,,,,3,TRUE
2-473,,DP,,,,3,TRUE
2-1982,,DP,,,,3,TRUE
2-1865,,DP,,,,3,TRUE
2-2007,,DP,,,,3,TRUE
2-1990,,DP,,,,3,TRUE
2-1994,,DP,,,,3,TRUE
2-2015,,ST,,,,3,TRUE
2-1288,,ST,,,,2,TRUE
2-672,,ST,,,,2,TRUE
2-1942,,ST,,,,2,TRUE
2-167,,ST,,,,2,TRUE
2-1419,,ST,,,,2,TRUE
2-792,,ST,,,,2,TRUE
2-1097,,ST,,,,2,TRUE
2-1039,,ST,,,,2,TRUE
2-1424,,ST,,,,2,TRUE
2-1345,,ST,,,,2,TRUE
2-823,,ST,,,,2,TRUE
2-674,,ST,,,,2,TRUE
2-1299,,ST,,,,2,TRUE
2-652,,ST,,,,2,TRUE
2-1098,,ST,,,,2,TRUE
2-1708,,ST,,,,2,TRUE
2-840,,ST,,,,2,TRUE
2-374,,ST,,,,2,TRUE
2-766,,ST,,,,2,TRUE
2-764,,ST,,,,2,TRUE
2-1851,,ST,,,,2,TRUE
2-771,,ST,,,,2,TRUE
2-1043,,ST,,,,2,TRUE
2-483,,ST,,,,2,TRUE
2-1540,,PS,,,,2,TRUE
2-1317,,PS,,,,2,TRUE
2-1332,,PS,,,,2,TRUE
2-1228,,PS,,,,2,TRUE
2-1598,,PS,,,,2,TRUE
2-1760,,PS,,,,2,TRUE
2-1014,,PS,,,,2,TRUE
2-1943,,PS,,,,2,TRUE
2-1954,,PS,,,,2,TRUE
2-1310,,PS,,,,2,TRUE
2-1150,,PS,,,,2,TRUE
2-876,,PS,,,,2,TRUE
2-1755,,PS,,,,2,TRUE
2-1012,,PS,,,,2,TRUE
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
