personCode,personno,plant_code,area_code,line_code,machine_code,approval_level,is_active
2-666,,DP,,,,2,TRUE
2-717,,DP,,,,2,TRUE
2-1317,,DP,,,,2,TRUE
2-1452,,DP,,,,2,TRUE
2-891,,DP,,,,2,TRUE
2-1934,,DP,,,,2,TRUE
2-1335,,DP,,,,2,TRUE
2-1370,,DP,,,,2,TRUE
2-476,,DP,,,,2,TRUE
2-758,,DP,,,,2,TRUE
2-804,,DP,,,,2,TRUE
2-998,,DP,,,,2,TRUE
2-1725,,DP,,,,2,TRUE
2-1093,,DP,,,,2,TRUE
2-1410,,DP,,,,2,TRUE
2-1758,,DP,,,,2,TRUE
2-1713,,DP,,,,2,TRUE
2-1716,,DP,,,,2,TRUE
2-982,,DP,,,,2,TRUE
2-1604,,DP,,,,2,TRUE
2-981,,DP,,,,2,TRUE
2-694,,DP,,,,2,TRUE
2-1727,,DP,,,,2,TRUE
2-081,,DP,,,,2,TRUE
2-841,,DP,,,,2,TRUE
2-452,,DP,,,,2,TRUE
2-1212,,DP,,,,2,TRUE
2-1326,,DP,,,,2,TRUE
2-575,,DP,,,,2,TRUE
2-1970,,DP,,,,2,TRUE
2-691,,DP,,,,2,TRUE
2-1099,,DP,,,,2,TRUE
2-828,,DP,,,,2,TRUE
2-1015,,DP,,,,2,TRUE
2-1086,,DP,,,,2,TRUE
2-1108,,DP,,,,2,TRUE
2-1121,,DP,,,,2,TRUE
2-719,,DP,,,,2,TRUE
2-102,,DP,,,,2,TRUE
2-673,,DP,,,,2,TRUE
2-1276,,DP,,,,2,TRUE
2-1389,,DP,,,,2,TRUE
2-1151,,DP,,,,2,TRUE
2-1513,,DP,,,,2,TRUE
2-145,,DP,,,,2,TRUE
2-983,,DP,,,,2,TRUE
2-1060,,DP,,,,2,TRUE
2-1297,,DP,,,,2,TRUE
2-1081,,DP,,,,2,TRUE
2-1960,,DP,,,,2,TRUE
2-591,,DP,,,,2,TRUE
2-1806,,DP,,,,2,TRUE
2-1941,,DP,,,,2,TRUE
2-1805,,DP,,,,2,TRUE
2-1923,,DP,,,,2,TRUE
2-1920,,DP,,,,2,TRUE
2-769,,DP,,,,2,TRUE
2-1525,,DP,,,,2,TRUE
2-1998,,DP,,,,2,TRUE
2-1937,,DP,,,,2,TRUE
2-1337,,DP,,,,2,TRUE
2-1218,,DP,,,,2,TRUE
2-1939,,DP,,,,2,TRUE
2-1809,,DP,,,,2,TRUE
2-1265,,DP,,,,2,TRUE
2-1361,,DP,,,,2,TRUE
2-1924,,DP,,,,2,TRUE
2-670,,DP,,,,2,TRUE
2-1461,,DP,,,,2,TRUE
2-1387,,DP,,,,2,TRUE
2-1120,,DP,,,,2,TRUE
2-163,,DP,,,,2,TRUE
2-1996,,DP,,,,2,TRUE
2-1391,,DP,,,,2,TRUE
2-1380,,DP,,,,2,TRUE
2-1926,,DP,,,,2,TRUE
2-1916,,DP,,,,2,TRUE
2-1127,,DP,,,,2,TRUE
2-1329,,DP,,,,2,TRUE
2-570,,DP,,,,2,TRUE
2-1070,,DP,,,,2,TRUE
2-1067,,DP,,,,2,TRUE
2-1919,,DP,,,,2,TRUE
2-1495,,DP,,,,2,TRUE
2-1368,,DP,,,,2,TRUE
2-1928,,DP,,,,2,TRUE
2-1575,,DP,,,,2,TRUE
2-1936,,DP,,,,2,TRUE
2-1574,,DP,,,,2,TRUE
2-1167,,DP,,,,2,TRUE
,769,DP,,,,2,TRUE
,771,DP,,,,2,TRUE
,772,DP,,,,2,TRUE
,773,DP,,,,2,TRUE
